Title,City,Filed As,Verdict,Action,Re-filed To,Reason,Note
Maricel Tours,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Galatea Tours Siargao,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Boozey Tour Services,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Paradise Tours Philippines,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
"Marthon Travel & Tours Services, Siargao",General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Coastal Reef Adventure,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Xargao Travel and Tours,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
I'm Here Travels,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Javalava Tours,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Siargao Wonders Travel & Tours,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Coconut Cruisers Siargao,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Siargao Island Getaway,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
DJR Siargao travel & tours,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
LoghousePh / Surflogs Private Tour Siargao,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
General Luna Tourism Office,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Suroy' Gao Travel & Tours,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Arman - Holmes Siargao Tour Organizer and Accommodation Packages,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
ISLA TURON DELUXE SIARGAO,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Mao Mao surf,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Daltans Home Stay Siargao,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Secret Villa Siargao,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Siargao Siren,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
CRA Car Rental,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
IAO Surf Camp,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Siargao Car Rentals,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Sun and Sand Siargao,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Harana Surf School - Siargao,General Luna,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Maximum Freediving Siargao,General Luna,dive shops,REVIEW,keep,dive shops,no rule for amenity 'dive shops',uncertain — kept by default
Sea Serenity Diving Center,General Luna,dive shops,REVIEW,keep,dive shops,no rule for amenity 'dive shops',uncertain — kept by default
Balaka,General Luna,dive shops,REVIEW,keep,dive shops,no rule for amenity 'dive shops',uncertain — kept by default
Green Room Wine Bar & Bistro Siargao,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Hideaway,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
