Title,City,Filed As,Verdict,Action,Re-filed To,Reason,Note
Tayangban Cave Pool,Siargao,things to do,REVIEW,keep,things to do,no rule for amenity 'things to do',uncertain — kept by default
Coconut Plantation View Point,Siargao,things to do,REVIEW,keep,things to do,no rule for amenity 'things to do',uncertain — kept by default
Pacifico Beach,Siargao,things to do,REVIEW,keep,things to do,no rule for amenity 'things to do',uncertain — kept by default
Alegria Beach,Siargao,things to do,REVIEW,keep,things to do,no rule for amenity 'things to do',uncertain — kept by default
Pasikon Beach,Siargao,things to do,REVIEW,keep,things to do,no rule for amenity 'things to do',uncertain — kept by default
Siargao Island,Siargao,things to do,REVIEW,keep,things to do,no rule for amenity 'things to do',uncertain — kept by default
The Marvelous Somyot Cave,Siargao,things to do,REVIEW,keep,things to do,no rule for amenity 'things to do',uncertain — kept by default
Sugba Lagoon Tour,Siargao,things to do,REVIEW,keep,things to do,no rule for amenity 'things to do',uncertain — kept by default
Sunshine On Tour Siargao,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Siargao Loop & Island Tour,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Siargao Surf Tours,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Kahuna Siargao Travel and Tours,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Jimmyboy Siargao tour services,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Yonder in Siargao,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Siargao Buddy,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
KingKing Siargao Travel & Tours,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Ubani Siargao,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Siargao ATV Adventure,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
"Seahorse - Surf Trips, Fishing & Spearfishing Trips Siargao",Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Coconut Road,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Port of Sugba Lagoon,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
LAKBAYSIARGAO tour services,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
The Orchid Siargao,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Siargao Kayaks House,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
